alpha,beta,wer,cer
0.01,0.0,0.11244194573453924,0.03827333946998692
0.01,0.5,0.11121975067220728,0.038127997674531275
0.01,1.0,0.11121975067220728,0.03807955040937939
0.01,1.5,0.11268638474700562,0.0383217867351388
0.05,0.0,0.11610853092153507,0.039193837507872684
0.05,0.5,0.11488633585920313,0.03895160118211327
0.05,1.0,0.11244194573453924,0.03861247032605009
0.05,1.5,0.1131752627719384,0.038854706651809505
0.1,0.0,0.11684184795893425,0.039484521098783976
0.1,0.5,0.11513077487166952,0.03909694297756892
0.1,1.0,0.11390857980933757,0.038903153916961385
0.1,1.5,0.11048643363480812,0.03851557579574633
0.5,0.0,0.12588609142019067,0.04108328084879609
0.5,0.5,0.1251527743827915,0.040937939053340436
0.5,1.0,0.1249083353703251,0.040937939053340436
0.5,1.5,0.12295282327059398,0.040841044523036676
1.0,0.0,0.1390857980933757,0.04297272418971949
1.0,0.5,0.13639696895624542,0.04287582965941573
1.0,1.0,0.13493033488144707,0.04273048786396008
1.0,1.5,0.13370813981911514,0.042585146068504436
2.0,0.0,0.14666340747983378,0.04418390581851654
2.0,0.5,0.14568565142996823,0.04408701128821278
2.0,1.0,0.1437301393302371,0.043941669492757136
2.0,1.5,0.14324126130530432,0.04389322222760525
5.0,0.0,0.15155218772916157,0.044716825735187246
5.0,0.5,0.1513077487166952,0.04491061479579478
5.0,1.0,0.15155218772916157,0.04495906206094666
5.0,1.5,0.15081887069176242,0.04486216753064289
